PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
757,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
764,NA,NA,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
777,NA,NA,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
779,37,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
783,38,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
784,37,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
785,NA,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
786,37,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
787,37,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
788,39,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
793,40,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
795,40,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
796,40,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
801,41,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
802,41,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
805,NA,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
807,NA,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
809,NA,NA,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
817,NA,NA,NA,NA,NA,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1
830,38,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
831,NA,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
837,38,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
856,NA,NA,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
864,37,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
865,21,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
881,NA,NA,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
882,NA,28,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
886,NA,30,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
888,NA,22,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
889,NA,30,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
891,NA,22,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
900,NA,21,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1000,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1006,NA,31,15,8,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
1015,NA,31,15,8,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
1022,33,24,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1023,33,24,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1027,NA,NA,NA,NA,NA,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1
1034,42,27,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1035,42,27,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1039,NA,27,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1041,NA,22,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1042,35,27,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1053,NA,32,16,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1058,43,32,16,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1060,43,32,16,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1072,NA,NA,NA,NA,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
1075,44,33,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1079,NA,34,17,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1080,34,25,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1108,NA,34,17,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1111,44,33,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1123,NA,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1124,45,35,18,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1131,NA,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1133,46,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1136,46,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1154,45,35,18,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1160,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
1168,NA,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1169,47,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1170,47,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1172,NA,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,25,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,23,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,24,20,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2034,48,36,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2035,48,36,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2037,48,36,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2038,49,36,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2039,49,36,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2040,49,36,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2042,49,36,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2043,50,36,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2044,50,36,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050,NA,37,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2051,NA,37,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2053,NA,NA,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2062,NA,12,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2066,8,11,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2073,NA,27,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2074,NA,27,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2088,34,25,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2095,NA,38,20,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2096,NA,38,20,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2099,NA,NA,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2107,NA,34,17,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2116,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2156,NA,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2161,NA,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2164,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2167,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2185,15,12,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2190,NA,27,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3033,NA,39,21,10,6,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3037,51,39,21,10,6,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3045,51,39,21,10,6,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3051,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3057,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3063,NA,NA,NA,NA,6,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,1
3087,NA,NA,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3089,NA,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3096,52,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3099,NA,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3103,NA,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3110,NA,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3111,NA,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3119,NA,NA,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3137,NA,NA,NA,NA,NA,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3154,39,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3155,NA,NA,NA,NA,6,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1
3160,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,1
4004,52,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
4017,NA,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4019,NA,29,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4072,53,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
4073,53,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
4074,52,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
4075,NA,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
4077,52,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
4079,NA,40,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
4083,NA,41,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
4087,NA,42,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
4092,54,41,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
4093,54,41,22,11,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,1
