"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
476,9,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
479,9,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
482,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
483,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
488,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
491,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
493,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
497,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
498,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
500,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
506,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
507,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
508,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
512,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
513,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
514,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
515,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
519,15,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
544,18,20,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
548,18,20,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
550,0,20,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
553,37,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
554,37,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
556,0,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
560,30,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
568,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
576,0,17,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
577,0,17,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
578,0,17,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
583,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
585,0,17,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
586,38,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
589,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
590,38,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
619,0,0,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
626,39,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
628,39,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
669,40,35,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
671,40,35,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
672,41,13,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
674,41,13,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
676,0,13,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
682,19,13,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
695,20,23,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
697,0,11,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
702,0,11,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
704,0,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
710,0,36,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
715,0,11,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
717,0,11,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
724,0,11,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
725,0,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
731,42,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
737,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
743,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
751,43,11,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
755,43,11,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
757,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
764,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
777,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
779,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
783,21,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
784,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
785,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
786,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
787,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
788,44,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
793,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
795,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
