"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
430,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
436,44,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
438,44,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
439,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
440,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
442,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
443,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
445,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
448,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
451,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
453,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
454,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
458,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
462,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
465,45,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
467,46,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
468,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
473,10,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
475,10,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
476,10,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
479,10,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
482,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
483,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
485,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
488,47,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
491,45,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
493,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
496,27,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
497,27,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
498,27,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
506,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
507,8,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
509,8,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
511,8,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
512,8,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
513,8,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
514,8,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
515,18,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
517,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
519,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
543,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
548,41,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
550,0,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
552,28,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
