"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
512,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
513,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
514,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
515,14,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
517,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
519,16,12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
548,0,31,27,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
550,0,31,27,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
552,0,32,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
556,0,32,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
560,34,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
568,0,0,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
573,0,0,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
576,0,16,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
577,0,16,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
578,0,16,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
589,0,0,13,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
611,0,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
626,39,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
628,39,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
630,10,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
631,10,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
633,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
651,19,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
653,19,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
660,0,33,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
661,0,33,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
665,19,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
669,40,34,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
671,40,34,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
672,41,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
673,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
674,41,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
676,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
682,20,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
695,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
697,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
702,21,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
710,0,29,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
712,22,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
715,22,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
724,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
725,0,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
727,0,35,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,42,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
730,0,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
731,12,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
743,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
