PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
514,27,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
515,8,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
517,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
519,11,12,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
548,NA,22,17,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
550,NA,22,17,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
552,NA,23,18,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
556,NA,23,18,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
560,14,10,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
568,NA,NA,15,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
573,NA,NA,15,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
576,NA,24,15,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
577,NA,24,15,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
578,NA,24,15,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
589,NA,NA,16,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
611,NA,14,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
626,28,18,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
628,28,18,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
630,18,18,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
631,18,18,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
633,NA,NA,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
651,29,25,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
653,29,25,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
660,NA,26,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
661,NA,26,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
665,29,25,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
669,30,27,19,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
671,30,27,19,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
672,31,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
673,NA,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
674,31,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
676,NA,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
682,32,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
695,NA,NA,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
697,NA,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
702,33,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
710,NA,17,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
712,34,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
715,34,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
724,NA,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
725,NA,18,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
727,NA,29,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,35,18,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
730,NA,18,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
731,36,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
743,NA,NA,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
750,NA,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
751,37,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
755,37,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
758,NA,NA,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
777,NA,15,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
779,NA,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
783,NA,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
784,NA,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
786,NA,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
789,38,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
791,38,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
793,39,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
794,39,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
795,39,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
796,39,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
797,39,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
801,NA,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
804,40,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
805,40,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
807,NA,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
831,41,30,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
832,41,30,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
833,41,30,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
847,NA,30,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
849,42,30,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
855,38,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
856,38,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
857,38,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
865,22,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
867,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
882,NA,17,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
886,NA,NA,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
888,18,18,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
891,18,18,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
900,19,19,15,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
904,19,19,15,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1000,NA,NA,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1004,NA,NA,16,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1006,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,1
1022,32,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1023,32,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1027,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
1031,33,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1033,33,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1034,NA,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1036,36,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1040,35,18,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1042,36,28,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1046,NA,29,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1053,NA,31,21,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
