obsolete;LimesLimits_ID;Site_type;Start_period;End_period;Nb_CER_BM;Nb_TILES;Nb_NONCER_BM;Nb_MORTAR;Nb_HEATING;Nb_DECOR;Nb_WINDOW;TOTAL FINDS;TOTAL_CER_BM;TOTAL_NONCER_BM;TOTAL_LUXURY_BM;P_CER_BM;P_TILES;P_NONCER_BM;P_MORTAR;P_HEATING;P_DECOR_P;P_WINDOW;P_NO_BM;P_CER_BM;P_NONCER_BM;P_LUXURY_BM;BM_GROUP
FALSE;79;rural settlement;IJZL;ROMM;0;5;1;0;0;0;0;6;5;1;0;0;1;1;0;0;0;0;0;0;1;0;3
FALSE;80;"rural settlement; burial(s)?";IJZL;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;81;burial(s);ROMMA;ROMMA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;82;"rural settlement; burial(s)?";IJZL;ROML;0;2;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;83;rural settlement;IJZL;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;84;rural settlement;IJZL;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;85;burial(s);IJZ;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;86;rural settlement;IJZL;ROMM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;88;rural settlement?;ROM;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;89;burial(s);IJZL;ROMV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;90;rural settlement?;IJZL;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;91;rural settlement;IJZL;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;92;rural settlement;IJZL;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;93;rural settlement;IJZL;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;94;cult site;IJZL;ROMM;0;2;5;1;0;3;1;12;2;6;4;0;1;1;1;0;1;1;0;0;0;1;4
FALSE;95;rural settlement;ROM;ROM;1;1;0;0;0;0;0;2;2;0;0;1;1;0;0;0;0;0;0;1;0;0;2
FALSE;96;rural settlement;IJZL;ROML;0;2;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;97;rural settlement;ROM;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;99;rural settlement;IJZ;ROM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;100;rural settlement?;ROM;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;101;rural settlement;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;102;rural settlement;IJZL;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;103;rural settlement;IJZL;ROMV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;104;rural settlement;IJZL;ROML;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;105;rural settlement;ROMV;VMEA;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;106;rural settlement;IJZL;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;107;cult site;IJZL;ROML;1;0;1;0;0;0;0;2;1;1;0;1;0;1;0;0;0;0;0;0;1;0;3
FALSE;108;castellum?;ROMLB;ROMLB;0;1;4;1;0;2;0;8;1;5;2;0;1;1;1;0;1;0;0;0;0;1;4
FALSE;109;rural settlement;IJZL;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;110;rural settlement, stone-built;IJZL;ROMMB;3;4;7;0;0;4;0;18;7;7;4;1;1;1;0;0;1;0;0;0;0;1;4
FALSE;111;"rural settlement, stone-built; burial(s)";IJZM;ROMMB;0;2;3;0;0;1;1;7;2;3;2;0;1;1;0;0;1;1;0;0;0;1;4
FALSE;112;"rural settlement; burial(s)";IJZM;LME;3;3;2;0;0;0;0;8;6;2;0;1;1;1;0;0;0;0;0;0;1;0;3
FALSE;113;"rural settlement, stone-built?; burial(s)";ROMV;ROMMB;0;2;1;0;0;0;0;3;2;1;0;0;1;1;0;0;0;0;0;0;1;0;3
FALSE;114;rural settlement;ROMV;ROML;0;1;3;0;0;0;0;4;1;3;0;0;1;1;0;0;0;0;0;0;1;0;3
FALSE;115;rural settlement;ROMV;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;116;rural settlement?;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;117;rural settlement;ROM;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;118;rural settlement;IJZL;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;120;rural settlement;ROMV;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;121;rural settlement?;ROMM;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;122;rural settlement;ROMV;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;124;rural settlement;ROMV;ROMM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;125;rural settlement?;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;126;rural settlement;ROMV;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;127;rural settlement?;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;128;rural settlement?;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;129;rural settlement;ROMV;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;131;rural settlement;ROMV;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;132;rural settlement, stone-built;IJZL;ROML;1;1;4;0;1;0;1;8;2;4;2;1;1;1;0;1;0;1;0;0;0;1;4
FALSE;133;rural settlement;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;134;rural settlement, stone-built?;ROMVA;ROMLA;2;1;0;0;0;0;0;3;3;0;0;1;1;0;0;0;0;0;0;1;0;0;2
FALSE;136;rural settlement;ROMV;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;138;rural settlement;ROMM;ROML;0;1;2;0;0;0;0;3;1;2;0;0;1;1;0;0;0;0;0;0;1;0;3
FALSE;140;rural settlement;IJZL;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;142;rural settlement;ROMV;ROMM;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;2
FALSE;147;rural settlement?;ROM;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;148;rural settlement;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;150;rural settlement;IJZL;ROM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;151;burial(s);ROMV;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;152;"rural settlement; burial(s)";IJZL;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;155;rural settlement;ROMM;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;158;rural settlement;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;161;rural settlement;ROMV;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;163;rural settlement;ROM;ROM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;169;rural settlement;ROMM;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;174;rural settlement;ROMV;VME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;175;"rural settlement; burial(s)?";ROMV;ROMM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;179;rural settlement;ROMM;ROMM;0;1;1;0;0;0;0;2;1;1;0;0;1;1;0;0;0;0;0;0;1;0;3
FALSE;181;rural settlement;ROMV;ROML;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;3
FALSE;182;rural settlement;ROMV;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;186;"castellum?; civil settlement?";ROMMA;ROMMB;1;3;3;0;2;0;0;9;4;3;2;1;1;1;0;1;0;0;0;0;0;1;4
FALSE;187;rural settlement;IJZL;ROML;0;1;1;0;0;0;0;2;1;1;0;0;1;1;0;0;0;0;0;0;1;0;3
FALSE;191;rural settlement;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;192;rural settlement;ROMV;ROML;0;3;2;0;0;0;0;5;3;2;0;0;1;1;0;0;0;0;0;0;1;0;3
FALSE;193;rural settlement;ROMV;ROMM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;195;rural settlement;ROMV;ROMM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;197;rural settlement;IJZL;ROML;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;198;rural settlement;IJZL;ROMM;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;200;rural settlement;IJZL;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;202;"rural settlement; burial(s)";IJZL;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;206;rural settlement;ROMM;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;207;burial(s);ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;208;rural settlement;IJZL;ROMV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;209;rural settlement;IJZL;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;210;rural settlement;IJZL;ROML;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
FALSE;211;rural settlement;IJZL;ROMV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;216;rural settlement;IJZL;ROMV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;218;rural settlement;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;219;rural settlement, stone-built?;IJZL;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;221;rural settlement?;ROM;ROM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;224;rural settlement?;ROMV;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;225;rural settlement?;ROMV;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;227;rural settlement?;ROMM;ROML;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
FALSE;229;rural settlement;ROMM;ROMM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
