"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_ROMVA";"Nb_runs_ROMVB"
2122;177133;422846;"Balgoij";"Van Cittersweg";"rural settlement?";10;490;982
2124;178100;424500;"Wijchen";"Oude Klapstraat";"rural settlement";10;644;975
2132;174250;429190;"Bergharen";"De Weem";"rural settlement";10;406;964
2144;186630;431440;"Lent";"Koudenhoek";"rural settlement; burial(s)?";10;854;994
2155;169300;416080;"Schaijk";"Munse Heide";"rural settlement";10;1000;38
2173;150140;423810;"Rossum";"H.C. de Jonghweg";"rural settlement";10;904;1000
2176;140775;416950;"Hedikhuizen";"Maasdijk";"rural settlement";10;1000;1000
2177;136690;420010;"Spijk";"Dorp";"rural settlement";10;638;999
2180;132390;421500;"Neer-Andel";"Gemeentehuis";"rural settlement";10;1000;0
2186;145959;439820;"Beusichem";"Hoge Voorkoop II";"rural settlement?";10;892;0
2187;151250;434000;"Buren";"Mierlingsestraat";"rural settlement?";10;825;0
3007;89400;470900;"Noordwijk";"Hertenkamp";"rural settlement";10;378;681
3029;92450;464600;"Leiden";"Darwinweg";"rural settlement";10;960;1000
3030;95150;464490;"Leiden";"Sumatrastraat";"rural settlement";10;1000;1000
3044;100075;461540;"Koudekerk aan den Rijn";"Hondsdijkse Polder IV";"rural settlement";10;769;997
3056;89022;462488;"Wassenaar";"Amerikaanse school";"rural settlement";10;1000;1000
3062;92475;460900;"Leiden";"Oostvlietpolder";"rural settlement";10;1000;1000
3070;101330;460280;"Hazerswoude";"Oostvaartpark";"rural settlement; road";10;999;1000
3071;102790;460800;"Hoorn";"Lemkes";"rural settlement; jetty?; road";10;314;957
3092;76780;448950;"Poeldijk";"Wateringseweg";"rural settlement, stone-built";10;51;821
3097;81100;449800;"Rijswijk";"H.J. van Mooklaan";"rural settlement";10;806;1000
3101;82825;449215;"Rijswijk";"Wilhelminapark";"rural settlement; burial(s)";10;971;1000
3102;82850;451400;"Rijswijk";"Havenstraat";"rural settlement; burial(s)?";10;0;1000
3104;84383;451994;"Rijswijk";"Hoornwijck";"rural settlement";10;998;1000
3105;84300;452500;"Leidschendam";"Leeuwenberg";"rural settlement; burial(s); cult place?";10;1000;1000
3113;130710;454540;"De Meern";"van Heemskerklaan";"rural settlement; road";10;749;982
3121;128800;458340;"Vleuten";"Haarzicht";"rural settlement";10;128;537
3125;118420;455380;"Woerden";"Barwoutswaarder West";"rural settlement; road";10;1000;1000
3143;82600;458400;"Wassenaar";"Groenendaal";"rural settlement";10;938;997
3159;135335;453717;"Utrecht";"Beneluxlaan";"rural settlement; road";10;1000;1000
3163;88550;468500;"Katwijk";"Cleijn Duin";"rural settlement";10;489;939
3172;76700;449690;"Den Haag";"Uithofslaan";"rural settlement";10;1000;1000
3173;77495;449799;"Den Haag";"Lozerlaan/Erasmusweg";"rural settlement; burial(s)?; cult place";10;1000;1000
3174;79800;449200;"Den Haag";"Oosteinde";"rural settlement; road";10;991;996
4071;75385;449182;"Poeldijk";"Poeldijk Noordoost";"rural settlement; burial(s); road";10;1000;1000
4076;78300;448700;"Wateringen";"Heulweg I";"rural settlement";10;55;563
4078;81787;447919;"Schipluiden";"Harnaschpolder I";"rural settlement";10;1000;1000
4080;75400;447400;"Honselersdijk";"Groene Laan";"rural settlement";10;164;815
4085;78320;446245;"Kwintsheul";"15 Hont";"rural settlement";10;51;528
4086;81130;446510;"'t Woudt";"Woudse Polder I";"rural settlement; road";10;1000;1000
4089;75157;445565;"Naaldwijk";"Trace Parc Westland Mars";"rural settlement; road?; canal?";10;375;874
4090;83015;445015;"Abtswoude";"Buitenhof";"rural settlement";10;1000;1000
4099;74970;442152;"Maasdijk";"Honderdland";"rural settlement?";10;432;819
4101;77950;442510;"De Lier";"Kralingerpolder";"rural settlement";10;1000;1000
4103;78730;442540;"Gaag";"Kraaiennest II";"rural settlement";10;5;1000
4105;76060;441800;"Maasdijk";"Oude Campsweg";"rural settlement";10;1000;1000
4115;87133;439309;"Schiedam";"Oost-Abtspolder";"rural settlement";10;1000;1000
4118;86920;438085;"Schiedam";"A20";"rural settlement";10;30;803
4120;80180;437310;"Vlaardingen";"Aalkeet-Buitenpolder II";"rural settlement";10;1000;1000
4121;80670;437155;"Vlaardingen";"Aalkeet-Buitenpolder III";"rural settlement";10;997;1000
4122;82440;436961;"Vlaardingen";"Hoogstad I";"rural settlement; waterworks";10;1000;1000
4123;82908;437256;"Vlaardingen";"Hoogstad II";"rural settlement; waterworks";10;982;1000
4124;85420;437870;"Kethel";"Hargpolder III";"rural settlement";10;1000;1000
