"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
357,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
358,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
360,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
365,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
366,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
367,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
368,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
369,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
370,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
372,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
373,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
374,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
376,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
382,67,17,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
383,67,17,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
389,0,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
391,0,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
392,0,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
396,0,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
410,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
416,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
417,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
419,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
420,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
421,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
425,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
426,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
427,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
429,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
430,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
436,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
437,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
438,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
439,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
440,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
442,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
443,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
445,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
448,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
