PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
349,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
351,NA,NA,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
356,19,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
357,19,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
358,19,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
360,19,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
365,19,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
366,35,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
367,35,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
368,35,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
369,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
370,36,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
372,36,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
373,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
374,37,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
376,36,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
382,38,15,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
383,38,15,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
389,NA,16,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
391,NA,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
392,NA,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
396,NA,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
410,NA,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
416,NA,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
417,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
419,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
420,43,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
421,43,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,43,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423,43,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,43,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
425,44,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
426,44,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
427,44,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
429,43,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
430,43,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,43,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
436,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
437,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
438,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
439,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
440,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
442,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
443,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
445,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
448,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
451,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
453,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
454,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
455,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
458,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
461,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
462,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
465,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466,45,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
467,45,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
468,45,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
469,NA,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
472,46,23,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
473,46,23,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
475,46,23,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
476,46,23,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
477,46,23,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
479,46,23,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
482,44,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
483,44,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484,NA,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
485,NA,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
488,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
489,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
490,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
491,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
493,47,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
495,47,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
496,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
497,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
498,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
500,NA,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
506,48,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
507,48,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
508,48,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
509,48,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
510,48,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
511,48,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
512,48,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
513,48,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
514,48,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
515,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
516,14,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
517,42,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
519,21,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
524,44,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
543,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
544,29,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
548,29,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
549,29,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
550,29,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
552,49,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
553,49,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
554,49,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
556,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
558,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
559,30,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
560,33,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
562,NA,NA,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
568,50,24,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
576,NA,21,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
577,NA,21,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
578,NA,21,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
579,NA,21,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
583,NA,NA,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
585,NA,21,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
586,37,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
589,51,17,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
590,37,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
